GO, 0, 0, 0, 0, 0
mediterranean, 50, 75, 125, 150, 175
CC, 0, 0, 0, 0, 0
baltic, 50, 75, 125, 150, 175
income_tax, 0, 0, 0, 0, 0
READING 25, 25, 25, 25, 25
oriental, 75, 120, 170, 220, 270
CHANCE, 0, 0, 0, 0, 0
vermont, 75, 120, 170, 220, 270
connecticut 75, 120, 170, 220, 270
jail, 0, 0, 0, 0, 0
st charles, 85, 125, 175, 250, 300
ELECTRIC, 25, 25, 25, 25, 25
states 85, 125, 175, 250, 300
virginia, 85, 125, 175, 250, 300
PENNSYLVANIA, 25, 25, 25, 25, 25
st james, 80, 130, 180, 230, 280
CC, 0, 0, 0, 0, 0
tennessee, 80, 130, 180, 230, 280
new york, 80, 130, 180, 230, 280
FREE_PARKING, 0, 0, 0, 0, 0
kentucky, 60, 120, 180, 240, 300
CHANCE, 0, 0, 0, 0, 0
indiana, 60, 120, 180, 240, 300
illonois, 60, 120, 180, 240, 300
B&O, 25, 25, 25, 25, 25
atlantic, 75, 100, 150, 200, 250
ventnor, 75, 100, 150, 200, 250
WATER, 25, 25, 25, 25, 25
marvin, 75, 100, 150, 200, 250
GO_TO_JAIL, 0, 0, 0, 0, 0
pacific, 100, 150, 200, 250, 300
north_carolina, 100, 150, 200, 250, 300
CC, 0, 0, 0, 0, 0
pennsylvania, 100, 150, 200, 250, 300
SHORT, 25, 25, 25, 25, 25
CHANCE, 0, 0, 0, 0, 0
park, 150, 200, 250, 300, 350
LUXURY TAX, 100, 100, 100, 100, 100
boardwalk, 150, 200, 250, 300, 350
